RacaID,lat,long,upedonid,rcasiteid,SOCstock5,SOCstock30,SOCstock100
C0107F02,48.27,-124.65,C0107F02-1,C0107F02,184.885955185072,627.905363132249,NA
C0104F05,47.92,-124.52,C0104F05-1,C0104F05,143.945017744287,370.551115561062,620.111955394277
C0104F09,47.9,-124.5,C0104F09-1,C0104F09,137.016630258244,341.51970316306,NA
C0120P02,42.8,-124.49,C0120P02-1,C0120P02,33.3575618734002,167.245150004188,377.037688606462
C0104F03,46.8,-124.48,C0104F03-1,C0104F03,49.7308270869072,154.89369752297,NA
C0120P01,42.9,-124.48,C0120P01-1,C0120P01,36.6064702891909,187.089847333429,336.497591552559
C0118F01,42.91,-124.43,C0118F01-1,C0118F01,21.9877060782237,86.9497893924095,157.271141223315
C0104P04,47.95,-124.38,C0104P04-1,C0104P04,75.2188252541466,276.617940245121,NA
C0209F07,42.31,-124.36,nan,nan,nan,nan,nan
C0104F07,47.74,-124.26,C0104F07-1,C0104F07,159.78853441655,624.8301230048,NA
C0218P04,40.64,-124.25,nan,nan,nan,nan,nan
C0203P03,40.59,-124.19,nan,nan,nan,nan,nan
C0105F09,47.66,-124.18,C0105F09-1,C0105F09,126.715174299415,239.092479029024,470.86369648596
C0108F05,47.18,-124.12,C0108F05-1,C0108F05,154.618495448762,750.672584246585,NA
C0209P03,41.82,-124.1,C0209P03-1,C0209P03,16.71137268606,64.1236733989007,164.185273974668
C0206P03,40.91,-124.09,nan,nan,nan,nan,nan
C0215F04,41.87,-124.06,C0215F04-1,C0215F04,69.9617774833127,110.455247515835,162.122621352823
F0117F01,48.11,-124.04,F0117F01-1,F0117F01,105.893247939807,175.104393261477,217.881572560069
C0101W05,47.1,-124.04,C0101W05-1,C0101W05,90.2321999683742,543.776106607399,1697.6828951314
C0119F02,46.4,-124.03,C0119F02-1,C0119F02,144.514458822669,333.063199554402,NA
C0101W04,46.4,-124.03,C0101W04-1,C0101W04,117.98180114018,231.814202387964,NA
C0101W10,46.34,-123.98,C0101W10-1,C0101W10,73.5493954553741,491.752812110169,1081.66809267881
C0104F04,44.78,-123.94,C0104F04-1,C0104F04,98.2131112984998,222.444692444148,518.577721419564
C0107P01,44.78,-123.92,C0107P01-1,C0107P01,74.7205289837596,241.694124000669,591.529889151118
C0101W08,46.11,-123.91,C0101W08-1,C0101W08,153.103878164351,975.283952922352,3471.12872077236
C0108P02,45.46,-123.85,C0108P02-1,C0108P02,34.803009232542,122.238433969411,325.134500513418
C0106F03,42.97,-123.84,C0106F03-1,C0106F03,104.887727123978,155.667517648879,161.61268652292
F0120F01,43.7,-123.8,F0120F01-1,F0120F01,144.568251704173,340.847648199026,382.674308588129
C0120P06,46.37,-123.79,C0120P06-1,C0120P06,60.7612524255571,170.968066484308,404.257702328331
C0104P03,46.37,-123.79,C0104P03-1,C0104P03,50.7194027064691,144.331123543143,245.407772377699
C0206F06,39.46,-123.78,C0206F06-1,C0206F06,78.9679451270177,124.394282932858,163.133426567262
C0104F10,46.87,-123.77,C0104F10-1,C0104F10,74.1343795837848,256.602526147378,417.762991790136
C0206F04,39.27,-123.77,nan,nan,nan,nan,nan
C0206F01,39.35,-123.76,C0206F01-1,C0206F01,30.6653704957746,73.040029138622,130.549029858276
C0217F03,39.8,-123.76,C0217F03-1,C0217F03,172.999003943056,NA,NA
C0108F02,46.31,-123.72,C0108F02-1,C0108F02,29.6170597077614,83.1724427971584,568.801728272487
C0217F02,39.74,-123.68,C0217F02-1,C0217F02,25.6265200607698,112.448295133899,200.195559285485
C0117F03,46.16,-123.67,C0117F03-1,C0117F03,163.314334292524,326.357844857954,478.924306265323
C0104F08,45.76,-123.67,C0104F08-1,C0104F08,138.683121901211,293.246423162152,453.261809490329
C0209F03,43.04,-123.66,C0209F03-1,C0209F03,162.124852237034,229.700125340893,304.337525008055
C0108W05,46.95,-123.66,C0108W05-1,C0108W05,11.6335913863191,69.6838104933112,NA
C0209F08,42.91,-123.65,C0209F08-1,C0209F08,67.935270235902,110.42320806663,149.111716222246
C0206F03,38.85,-123.63,C0206F03-1,C0206F03,101.257391518363,NA,NA
C0114P03,43.64,-123.62,C0114P03-1,C0114P03,22.455531041605,106.668059813591,189.380804128582
C0104F06,46.37,-123.62,C0104F06-1,C0104F06,140.038455090955,323.249955556321,529.862414704894
C0217F05,39.04,-123.61,C0217F05-1,C0217F05,13.921220376689,51.9295290523204,104.183324431919
C0105F05,47.01,-123.6,C0105F05-1,C0105F05,154.082385989754,372.665998758792,NA
C0208F05,43.43,-123.6,C0208F05-1,C0208F05,74.9196545691382,145.18231760148,227.939800893908
F0202R10,41.68,-123.58,F0202R10-1,F0202R10,16.9081233658196,71.6668012159474,153.458125385171
C0215F03,39.41,-123.58,C0215F03-1,C0215F03,17.0982233081854,69.8629957197685,129.859736103117
C0103F03,45.01,-123.57,C0103F03-1,C0103F03,161.193206608313,412.587771910648,492.386540592771
C0103F04,45.83,-123.57,C0103F04-1,C0103F04,189.364480529672,411.604556821757,443.709628905834
F0105R10,47.43,-123.53,F0105R10-1,F0105R10,79.9719917169547,244.200961486316,257.863389808227
C0206P04,43.18,-123.51,C0206P04-1,C0206P04,22.2366149526301,83.5941695270011,144.979212212054
C0219P01,43.26,-123.51,C0219P01-1,C0219P01,16.223766785133,66.7375742266859,115.920355376861
C0206P05,43.36,-123.5,C0206P05-1,C0206P05,13.1327775937613,95.0498760021881,162.203264784226
C0118F05,44.78,-123.48,C0118F05-1,C0118F05,156.975111753722,289.753697529129,354.623185386031
F0105R05,47.38,-123.46,F0105R05-1,F0105R05,7.46951553501931,27.3989283188875,27.3989283188875
C0120P05,46.28,-123.45,C0120P05-1,C0120P05,10.4927241339028,137.753125023627,217.641764886824
C0120F05,43.65,-123.45,C0120F05-1,C0120F05,79.6993799121512,135.719590186696,176.497799674522
C0115F04,47.14,-123.45,C0115F04-1,C0115F04,32.3680424722992,99.0941199628354,NA
C0208F02,43.48,-123.44,C0208F02-1,C0208F02,70.2384422920143,113.766433877533,180.112058094669
C0114P02,44.61,-123.43,C0114P02-1,C0114P02,9.44318558844939,49.7661592706435,97.7002250647316
C0217F04,39.25,-123.42,C0217F04-1,C0217F04,2.83940263440013,24.1810449134181,60.9231569907232
C0209P02,42.43,-123.41,C0209P02-1,C0209P02,9.63364054258039,36.1930758247295,65.854524174032
F0105R06,47.35,-123.4,F0105R06-1,F0105R06,134.350843298367,241.603360867875,399.019854565804
C0118F03,47.09,-123.38,C0118F03-1,C0118F03,69.5228230277294,170.939809227076,NA
C0206W05,39.44,-123.35,nan,nan,nan,nan,nan
C0114P05,45.14,-123.35,C0114P05-1,C0114P05,15.3058762436573,71.4037580929547,170.100179138456
C0105F04,47.17,-123.34,C0105F04-1,C0105F04,46.8772655250835,91.1806537016579,NA
C0206P01,42.36,-123.33,C0206P01-1,C0206P01,17.9790744381415,73.5641652228805,116.679591464082
C0107C04,44.75,-123.33,C0107C04-1,C0107C04,14.6855532182138,83.5856371098979,192.002214300482
C0117F04,45.1,-123.33,C0117F04-1,C0117F04,179.250623783863,306.515658205987,380.900650382504
C0219F06,39.89,-123.32,C0219F06-1,C0219F06,92.1510887419629,171.261986561325,260.463555254492
C0107W04,45.08,-123.32,C0107W04-1,C0107W04,14.0658289962853,80.5261960294627,209.082038639393
C0108W04,44.35,-123.31,C0108W04-1,C0108W04,7.3682263319614,42.1852348031639,70.9502221386013
C0113F05,47.04,-123.3,C0113F05-1,C0113F05,104.040527055343,211.734785192714,291.423317803394
C0219F07,39.3,-123.3,C0219F07-1,C0219F07,13.6021691117399,63.784356141404,114.311183503406
C0104F01,46.32,-123.29,C0104F01-1,C0104F01,143.406171872186,380.930429378281,529.021801343197
C0120F07,46.07,-123.28,C0120F07-1,C0120F07,95.8301778097078,192.685062843107,220.56495749836
C0105F08,47.2,-123.28,C0105F08-1,C0105F08,73.7295441828264,136.361236703382,228.292639658085
C0120F01,45.91,-123.27,C0120F01-1,C0120F01,71.2937977933369,133.330056844512,200.483539318965
C0204P04,43.22,-123.27,C0204P04-1,C0204P04,26.1046806862197,57.8993783265449,76.3572893003421
C0108W02,44.99,-123.26,C0108W02-1,C0108W02,13.4395949836293,81.3247691861221,163.171559791868
C0107C01,44.48,-123.25,C0107C01-1,C0107C01,6.71852984040631,25.700550409417,68.0077946715824
C0113F04,46.79,-123.25,C0113F04-1,C0113F04,79.4127728267947,117.220970818175,148.061093550942
C0204P05,43.2,-123.22,C0204P05-1,C0204P05,11.1578258463137,33.7838915996662,33.7838915996662
C0219F03,42.04,-123.21,C0219F03-1,C0219F03,51.8260599614587,88.4761518255439,108.057579037536
C0117F01,43.27,-123.21,C0117F01-1,C0117F01,90.3564729954974,138.056629944816,292.218572314821
C0114C01,44.76,-123.2,C0114C01-1,C0114C01,14.4205566114806,87.2657794461646,202.498588499654
C0107F04,45.9,-123.19,C0107F04-1,C0107F04,7.1084854307563,41.8106546836952,91.7812440090383
C0114F08,46.2,-123.18,C0114F08-1,C0114F08,14.9618648436644,106.312424933267,211.539585891341
C0209F13,43.65,-123.17,C0209F13-1,C0209F13,91.8955071702973,155.338733931289,221.76725190011
C0108C03,44.27,-123.15,C0108C03-1,C0108C03,11.4231415140981,62.1276938645877,NA
C0114F04,43.79,-123.14,C0114F04-1,C0114F04,149.047998378914,214.583059300386,341.925473943209
C0101W90,48.56,-123.14,nan,nan,nan,nan,nan
C0115P06,48.1,-123.14,C0115P06-1,C0115P06,20.7615979572577,61.8348135401143,95.9127234849602
C0120F09,48,-123.14,C0120F09-1,C0120F09,34.62697892587,115.205993881749,141.450229690155
C0108C02,45.19,-123.13,C0108C02-1,C0108C02,6.37461479461927,31.1967692306459,NA
C0106F02,48.6,-123.13,C0106F02-1,C0106F02,15.959056135326,63.6980451986869,72.1908846151757
C0106F04,48.6,-123.12,C0106F04-1,C0106F04,67.4048090196381,128.280137932004,148.702454745836
C0209W02,39.01,-123.12,C0209W02-1,C0209W02,7.84217954557684,44.0633205718484,98.2423324260244
C0107P03,46.65,-123.11,C0107P03-1,C0107P03,1.35485022481691,130.372254908295,188.501127440061
C0105F01,47.52,-123.08,C0105F01-1,C0105F01,75.2095042614689,94.1951529462687,117.947661747435
C0108W03,44.22,-123.08,C0108W03-1,C0108W03,14.1926169346878,56.4972031710863,88.4185738925677
C0108W07,44.78,-123.08,C0108W07-1,C0108W07,7.21630032687387,42.5344843649693,70.7852089864392
C0108W01,44.78,-123.07,C0108W01-1,C0108W01,13.7467148154568,70.8030273620521,117.96602564193
C0108W09,44.28,-123.03,C0108W09-1,C0108W09,20.0761305487074,98.6936146844274,194.857099405172
C0209F10,40.64,-123,C0209F10-1,C0209F10,132.595442307438,169.49244067558,213.825594559523
C0108F04,44.26,-123,C0108F04-1,C0108F04,77.3620158193834,183.33451718527,306.157739333597
C0108F06,44.26,-123,C0108F06-1,C0108F06,23.7364597781184,102.519287478063,207.888862736465
C0101W09,46.14,-122.99,C0101W09-1,C0101W09,107.361566196714,412.034555663433,NA
C0108C04,45.17,-122.99,C0108C04-1,C0108C04,1.65822201377896,33.9957503949357,65.1453027894695
C0209F14,38.44,-122.98,C0209F14-1,C0209F14,101.206235552444,148.778878874388,174.51436213376
C0217R01,38.28,-122.94,C0217R01-1,C0217R01,21.8020942569767,95.858845332688,129.902631150233
C0113C04,44.99,-122.92,C0113C04-1,C0113C04,8.4809242571815,55.1071675814742,104.389389785872
C0114C02,44.58,-122.92,C0114C02-1,C0114C02,16.4492616991366,72.5453534961295,143.500233450123
C0107C03,44.59,-122.91,C0107C03-1,C0107C03,16.7145522646226,96.6503839661175,212.761654393824
C0209F12,42.24,-122.91,C0209F12-1,C0209F12,35.9769605230404,87.0489523398039,NA
C0219F12,42.24,-122.9,C0219F12-1,C0219F12,33.2561619046869,66.097688127375,93.1389209040515
C0217R08,38.29,-122.9,nan,nan,nan,nan,nan
C0208F04,42.97,-122.89,C0208F04-1,C0208F04,22.9394941259658,69.4753999982884,122.90572648762
C0217R09,38.25,-122.89,nan,nan,nan,nan,nan
C0217R10,38.27,-122.89,C0217R10-1,C0217R10,46.6282837367235,129.152844577369,209.492591270383
C0218P01,41.47,-122.89,C0218P01-1,C0218P01,26.0717005649863,67.3958376147457,148.260818869579
C0218R05,38.23,-122.87,nan,nan,nan,nan,nan
C0218P03,38.42,-122.87,nan,nan,nan,nan,nan
C0209W05,42.45,-122.86,C0209W05-1,C0209W05,8.40101616701419,28.863176392498,34.8842335924727
C0114F05,44.35,-122.86,C0114F05-1,C0114F05,71.795800580992,145.835825177914,235.194560429296
C0206F02,42.55,-122.82,C0206F02-1,C0206F02,29.8900515672229,86.8993934924062,151.936248704441
C0217R02,38.23,-122.82,C0217R02-1,C0217R02,11.353530942234,47.1449513591772,96.0642780786983
C0114F07,46.2,-122.82,C0114F07-1,C0114F07,151.855257427119,211.002991985248,280.422738642837
C0114C05,44.84,-122.81,C0114C05-1,C0114C05,20.2343285346462,97.9696149022552,184.073164237334
C0114P01,46.47,-122.81,C0114P01-1,C0114P01,19.8406633166415,122.20201352167,197.711165083755
C0115F09,48.04,-122.8,C0115F09-1,C0115F09,139.186380048718,314.664390751514,339.63445633331
C0116F08,47.11,-122.78,C0116F08-1,C0116F08,155.912364564658,275.767888360969,NA
C0101F01,47.01,-122.77,C0101F01-1,C0101F01,169.511025205791,1076.86459121636,3805.80164245805
C0108C06,45.03,-122.76,C0108C06-1,C0108C06,9.09244981991779,48.436294410555,69.8505686361991
C0219F05,39.09,-122.76,C0219F05-1,C0219F05,77.6870757159278,125.222774252073,164.592538585151
C0116C05,45.17,-122.75,C0116C05-1,C0116C05,9.14597766161372,42.4508260883073,70.7556150849109
C0215P02,42.44,-122.75,C0215P02-1,C0215P02,28.7098201729116,75.9261182523091,146.677703095697
